artist_names,track_name,danceability,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,popularity
Follow The Flow,Szélcsend,0.748,-5.432,0,0.129,0.173,0.0,0.107,0.725,158955,69.66877313811352
Olivia Rodrigo,good 4 u,0.556,-5.052,0,0.204,0.3,0.0,0.101,0.668,178148,73.00038348906551
Dua Lipa,Love Again,0.659,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,258004,43.11712564920771
"ByeAlex és a Slepp, Manuel",Rossz esték,0.814,-7.208,1,0.302,0.0838,0.0,0.0818,0.925,204286,65.57214465747037
BSW,Soha Nem Elég,0.788,-7.736,1,0.0792,0.391,2.1e-06,0.112,0.31,263571,36.9819591206016
Måneskin,Beggin',0.714,-4.808,0,0.0504,0.127,0.0,0.359,0.589,211560,65.4390432013776
"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),0.736,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,212000,73.59778984603433
"Avicii, Aloe Blacc",SOS (feat. Aloe Blacc),0.802,-6.181,0,0.0715,0.272,0.0,0.119,0.376,157202,51.92532474451066
Labrinth,Formula,0.574,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,91870,38.64440178639983
Dzsúdló,Ha meghalok,0.687,-6.221,1,0.239,0.167,0.0,0.0725,0.402,201600,52.28899043009439
"DJ Snake, J Balvin, Tyga",Loco Contigo (feat. J. Balvin & Tyga),0.822,-3.04,0,0.0567,0.285,2.31e-06,0.102,0.355,185195,54.608230061473805
"Diplo, SIDEPIECE",On My Mind,0.771,-6.577,1,0.0407,0.00155,0.681,0.217,0.629,189268,47.57466392852166
"Azahriah, DESH",Rét,0.474,-6.94,1,0.0862,0.438,0.0,0.107,0.722,179235,61.50079853079809
ekhoe,Smash!,0.759,-7.747,0,0.128,0.187,0.0,0.0916,0.226,144000,68.32621055570556
"AKC Kretta, AKC Misi",Gyere Velem,0.831,-8.913,0,0.0924,0.783,0.0,0.0849,0.487,200679,57.050923837485286
"Future, Drake",Life Is Good (feat. Drake),0.676,-5.831,0,0.481,0.0706,0.0,0.152,0.508,237735,51.97096215445255
Minelli,Rampampam,0.797,-5.506,0,0.182,0.24,0.0012,0.153,0.437,200212,62.14963908033906
Queen,Another One Bites The Dust - Remastered 2011,0.933,-6.472,0,0.161,0.112,0.312,0.163,0.754,214653,46.25214656837599
Armin van Buuren,Blah Blah Blah,0.378,-3.911,0,0.0682,0.00882,0.00357,0.294,0.16,183519,42.87428459663931
FISHER,Losing It,0.76,-5.844,1,0.0577,0.00181,0.703,0.0975,0.643,248036,34.740776123996525
David Kushner,Daylight,0.508,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,212954,71.76934361658559
Manuel,Zombi,0.694,-4.808,0,0.102,0.154,0.0,0.149,0.611,191411,73.98930918172047
ekhoe,Tenger,0.784,-6.753,0,0.0837,0.0898,0.0,0.105,0.214,160000,56.64497238236278
"Daddy Yankee, Snow",Con Calma,0.737,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,193227,53.24801696798403
Halott Pénz,Valami Van A Levegőben,0.57,-4.353,1,0.0915,0.17,0.0,0.156,0.911,211442,35.00253167113148
"Felix Jaehn, Ray Dalton",Call It Love,0.616,-4.779,0,0.076,0.0559,0.00217,0.417,0.714,154561,44.25054070324279
Carson Coma,Hobbihajótörött,0.435,-10.529,1,0.113,0.102,0.0,0.253,0.535,160427,37.94883868923449
"KKevin, L.L. Junior",Csavargó,0.848,-5.255,0,0.398,0.322,0.0,0.1,0.626,174000,74.37005310692626
VALMAR,Rövid Éj,0.678,-3.353,0,0.0815,0.352,0.0,0.0718,0.635,188580,41.36363772832581
ekhoe,Százszorszép,0.499,-10.831,1,0.099,0.151,0.0,0.124,0.192,146014,67.25354268241593
Azahriah,3korty,0.825,-6.943,0,0.114,0.223,0.0,0.111,0.315,193398,92.3510755905808
Azahriah,casa de papel,0.808,-7.034,0,0.125,0.646,0.0147,0.115,0.511,160000,78.07015757095076
Azahriah,gát,0.77,-7.646,0,0.114,0.349,0.0,0.0876,0.563,189784,75.02329081141362
"LMEN PRALA, Curtis",FANTASTIC,0.945,-5.908,0,0.118,0.0122,0.0,0.0835,0.516,141176,43.29026940702494
"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),0.716,-6.018,0,0.0522,0.391,0.0,0.0813,0.157,221520,58.1793830336327
"MEDUZA, James Carter, Elley Duhé, FAST BOY",Bad Memories (feat. Elley Duhé & FAST BOY),0.607,-6.069,0,0.0474,0.118,0.0,0.122,0.662,148629,57.87190500848709
Pop Smoke,Dior,0.548,-5.732,1,0.351,0.212,0.000405,0.408,0.649,216387,36.52065206549338
Shawn Mendes,If I Can't Have You,0.69,-4.198,1,0.0603,0.524,0.0,0.147,0.864,190800,52.9628170559764
Bruno X Spacc,VAKMELEG,0.9,-7.426,1,0.0855,0.276,0.0262,0.113,0.301,172139,59.36859082949288
Carson Coma,Kék Hullám Kemping,0.577,-7.487,0,0.0516,0.0098,0.0,0.14,0.654,191013,51.120214405418494
Halott Pénz,Hajtól Szívig,0.531,-8.568,1,0.0452,0.00491,9.44e-06,0.0976,0.383,213250,37.63855483514887
Harry Styles,Adore You,0.676,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,207133,48.40112676091442
Billie Eilish,bury a friend,0.905,-14.505,1,0.332,0.74,0.162,0.106,0.196,193143,58.82987770436297
Avicii,The Nights,0.527,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,176658,30.173246230728665
24kGoldn,VALENTINO,0.744,-4.853,0,0.181,0.197,0.0,0.134,0.549,179133,37.98840341777837
"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),0.791,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,214847,40.94936945704964
"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),0.767,-8.52,0,0.0803,0.234,0.0,0.269,0.761,171375,60.87477733538867
ekhoe,Forog a világ,0.571,-15.002,0,0.0816,0.187,0.0,0.0951,0.191,156039,68.38237766333982
KKevin,Ördög,0.96,-7.911,1,0.243,0.0258,0.00115,0.104,0.341,136125,42.1327339921105
"Manuel, Azahriah",Toxic,0.649,-5.486,1,0.0623,0.197,1.96e-06,0.339,0.838,191205,62.21044303566188
Manuel,100 Hiba,0.669,-5.637,1,0.0324,0.108,0.0,0.106,0.255,173455,56.58892281375023
Horváth Tamás,Meggyfa,0.86,-7.114,0,0.0506,0.754,0.0,0.21,0.883,179043,34.18421404723205
"Manuel, VALMAR",Palvin,0.696,-6.701,0,0.0422,0.141,0.0,0.114,0.913,188485,60.87006547364349
grandson,Blood // Water,0.51,-5.659,0,0.159,0.00158,0.00206,0.0764,0.653,216721,36.28615472382107
"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),0.632,-7.665,0,0.243,0.549,0.0,0.2,0.329,170770,42.73777772317018
"Joel Corry, RAYE, David Guetta",BED,0.671,-4.593,1,0.0341,0.0142,0.00221,0.333,0.618,178088,52.060245587893775
Pogány Induló,Pogi Hip-Hop,0.601,-6.384,1,0.781,0.255,0.0,0.367,0.461,117333,53.078408921023936
"JACKBOYS, Travis Scott, Young Thug",OUT WEST (feat. Young Thug),0.802,-4.895,1,0.225,0.0104,0.0,0.196,0.309,157712,35.94791543773454
Billie Eilish,everything i wanted,0.704,-14.454,0,0.0994,0.902,0.657,0.106,0.243,245426,58.594398400642405
"Senkise, Majka","U, u, u",0.688,-6.432,1,0.193,0.0294,0.0,0.115,0.42,238140,34.268587388167944
Katy Perry,Never Really Over,0.77,-4.792,1,0.0602,0.194,0.0,0.316,0.385,223523,43.72834469646092
Rilès,Pesetas,0.772,-5.218,0,0.335,0.0785,0.0,0.0834,0.536,193562,42.0794290679568
"Y2K, bbno$",Lalala,0.843,-7.899,1,0.0846,0.178,0.0,0.137,0.495,160627,57.05540572470132
AK26,Blöff,0.882,-6.019,0,0.0869,0.0182,0.0,0.109,0.655,236382,35.26887688282068
"KKevin, Bruno X Spacc",Topshit,0.902,-7.136,0,0.174,0.0955,1.5e-06,0.0952,0.487,166165,69.94102614416192
Doja Cat,Woman,0.824,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,172627,59.52053040286441
"Doja Cat, SZA",Kiss Me More (feat. SZA),0.762,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,208867,57.36247138318251
Taylor Swift,Don’t Blame Me,0.615,-6.719,0,0.0386,0.106,1.76e-05,0.0607,0.193,236413,33.60411943670532
Avicii,Wake Me Up,0.532,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,247427,29.453753936339467
"David Guetta, Anne-Marie, Coi Leray",Baby Don't Hurt Me,0.602,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,140018,49.19695353433575
Shouse,Love Tonight (Edit),0.727,-7.114,0,0.0265,0.00214,0.000307,0.0861,0.448,241970,44.443588957321694
Grasa,Tilidin,0.761,-8.104,0,0.426,0.0891,0.0,0.181,0.541,124186,59.10979530155399
Creeds,Push Up - Main Edit,0.767,-8.78,1,0.206,0.209,0.836,0.0582,0.187,139300,48.49726323486277
"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0.672,-3.764,1,0.0397,0.021,0.0,0.323,0.646,182200,51.91867808491331
"Rudimental, Jess Glynne, Macklemore, Dan Caplen","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",0.653,-4.057,1,0.0474,0.194,0.0,0.165,0.55,210773,38.97849661131576
Dzsúdló,Pont én,0.742,-7.343,1,0.0915,0.652,0.0,0.178,0.333,130742,39.349029672469214
"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),0.781,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,169333,53.67287764890986
"Justin Bieber, Daniel Caesar, Giveon",Peaches (feat. Daniel Caesar & Giveon),0.677,-6.181,1,0.119,0.321,0.0,0.42,0.464,198082,58.29830573419227
The Weeknd,Die For You,0.586,-7.163,0,0.0615,0.111,0.0,0.134,0.508,260253,32.2403700976234
Dzsúdló,Hiszti,0.788,-8.218,1,0.145,0.581,0.0,0.182,0.569,156923,33.196226519009485
Dzsúdló,Ha eddig nem kellettem,0.822,-4.987,1,0.0904,0.315,0.0,0.117,0.401,215455,50.34394723775998
Lil Nas X,THATS WHAT I WANT,0.737,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,143901,57.294269190101815
Manuel,3 Nap,0.803,-4.913,1,0.124,0.0892,2.37e-05,0.216,0.588,170100,52.00665725173542
Lil Nas X,HOLIDAY,0.81,-6.924,0,0.164,0.12,0.0,0.0832,0.837,154998,54.03099355593221
"Purple Disco Machine, Kungs, Julian Perretta",Substitution (feat. Julian Perretta),0.69,-4.866,0,0.0507,0.00903,1.61e-05,0.188,0.713,181478,52.74498272307116
Beach Weather,"Sex, Drugs, Etc.",0.572,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,196784,36.22492719812247
"The Chainsmokers, ILLENIUM, Lennon Stella",Takeaway,0.294,-8.106,1,0.042,0.12,0.0,0.0977,0.357,209893,50.4893385253865
ByeAlex és a Slepp,Csokko,0.781,-4.816,0,0.202,0.592,0.0,0.398,0.707,162821,57.14035580360307
"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),0.573,-4.356,0,0.0467,0.189,4.01e-05,0.109,0.145,199920,41.22762434033065
"Halott Pénz, Oláh Heléna",Szétszeretlek,0.785,-6.535,1,0.0467,0.368,0.0,0.31,0.603,182500,42.18244535913016
"Pogány Induló, ekhoe, Ótvar Pestis",12+1,0.782,-12.833,0,0.406,0.501,0.0,0.0884,0.387,337348,49.16705966755767
"Beton.Hofi, Hundred Sins",PLAYBÁNIA,0.278,-7.072,0,0.0968,0.74,0.0,0.103,0.0409,184944,50.85463964335571
"Marshmello, Halsey",Be Kind (with Halsey),0.63,-7.088,1,0.0457,0.00776,0.0,0.0541,0.452,172762,46.19858719417981
"Kolg8eight, Csoky, Beton.Hofi, Pogány Induló",Rizikó,0.881,-5.895,1,0.27,0.502,1.99e-05,0.0868,0.487,224697,60.57827035932603
"Juice WRLD, YoungBoy Never Broke Again",Bandit (with YoungBoy Never Broke Again),0.474,-5.884,0,0.343,0.0687,0.0,0.132,0.425,189323,42.60803271000742
XXXTENTACION,Moonlight,0.921,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,135090,33.048138304182814
"Joel Corry, Jax Jones, Charli xcx, Saweetie",OUT OUT (feat. Charli XCX & Saweetie),0.787,-4.403,1,0.0478,0.018,0.00747,0.0374,0.796,162604,49.136388128102894
Kungs,Never Going Home,0.836,-4.673,1,0.0392,0.0907,0.047,0.057,0.942,169945,50.649839591186506
"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),0.719,-7.384,1,0.0707,0.0138,4.83e-06,0.318,0.224,156943,73.68399550506238
"Galantis, David Guetta, Little Mix",Heartbreak Anthem (with David Guetta & Little Mix),0.595,-4.878,1,0.102,0.216,0.0,0.0608,0.479,183726,45.35267340289816
"Powfu, beabadoobee",death bed (coffee for your head),0.726,-8.765,0,0.135,0.731,0.0,0.696,0.348,173333,50.359475075818864
Central Cee,Doja,0.911,-7.43,1,0.288,0.38,0.0,0.403,0.972,97393,53.45510008725884
"Pogány Induló, Grasa",Fienduló,0.618,-6.059,0,0.307,0.215,0.0,0.0507,0.756,172775,50.90723618185866
"DESH, Young Fly, KKevin",Rollin',0.753,-6.877,0,0.112,0.377,0.000587,0.0892,0.892,199719,79.60976471924391
"Beton.Hofi, Hundred Sins",HARD RESET,0.673,-8.118,1,0.0958,0.717,4.93e-06,0.0991,0.299,177231,38.7501897778277
"Loud Luxury, Brando",Body,0.752,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,163216,41.45967560348353
"Halott Pénz, Dzsúdló",Mielőtt megismertelek,0.829,-7.39,0,0.0652,0.126,0.0,0.132,0.665,171579,38.00006339851063
Jason Derulo,Acapulco,0.774,-4.021,1,0.0523,0.051,0.0,0.155,0.507,139672,43.38237604052617
Krúbi,PUSZI,0.843,-7.441,1,0.124,0.129,0.0,0.169,0.287,204787,33.74526218329821
"Robin Schulz, Erika Sirola",Speechless (feat. Erika Sirola),0.574,-4.777,1,0.062,0.0161,1.42e-06,0.0851,0.266,214942,42.51271966024193
T. Danny,WOAH,0.875,-6.455,1,0.0729,0.403,7.26e-05,0.0999,0.573,184941,52.53357496813774
"Filo, Apu",seholse,0.836,-6.806,1,0.228,0.207,0.0,0.354,0.6,139014,67.45540555813929
Camila Cabello,Liar,0.74,-6.684,0,0.0456,0.0169,0.00282,0.319,0.652,207039,47.23519230526067
"Marshmello, Anne-Marie",FRIENDS,0.626,-2.384,0,0.0504,0.205,0.0,0.128,0.534,202621,38.4028581467245
Dua Lipa,Dance The Night - From Barbie The Album,0.671,-4.93,0,0.048,0.0207,0.0,0.329,0.775,176579,58.87747732909219
"Nemazalány, Sofi",Üres szívek,0.847,-9.419,0,0.0451,0.444,0.0,0.0468,0.353,210793,55.27208258365661
"VIZE, Tom Gregory",Never Let Me Down,0.758,-3.84,1,0.0456,0.207,0.0,0.114,0.706,153149,37.745092783338976
"R3HAB, INNA, Sash!",Rock My Body,0.662,-4.103,0,0.13,0.202,0.0,0.522,0.47,137419,45.28034327998101
"ACRAZE, Cherish",Do It To It,0.854,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,157890,57.7616061886455
"DESH, Young Fly, Azahriah, Lord Panamo",Rampapapam,0.835,-5.102,0,0.0891,0.084,0.0114,0.0544,0.614,189355,97.57718344975665
"Tiësto, KAROL G",Don't Be Shy,0.77,-3.748,0,0.0583,0.198,0.0,0.262,0.513,140500,51.35072666651931
"DESH, Young Fly",Pakisztáni/popo,0.615,-5.159,1,0.154,0.134,0.0114,0.0657,0.614,161025,86.69030379452984
Carson Coma,Én még sohasem,0.427,-11.338,0,0.279,0.0661,0.0,0.0667,0.594,237000,33.11949381442139
"DESH, Young Fly, Azahriah",Walkin a street,0.715,-5.696,0,0.17,0.163,0.0,0.0747,0.963,190687,67.62430524977614
"Bruno X Spacc, M Ricch",Paranoiás,0.562,-9.979,1,0.081,0.484,0.0,0.154,0.289,203212,43.11579531995652
"Riton, Oliver Heldens, Vula",Turn Me On (feat. Vula),0.737,-4.711,1,0.0396,0.0149,0.000588,0.0862,0.517,208474,41.80983116174255
"Ellie Goulding, Juice WRLD",Hate Me (with Juice WRLD),0.657,-4.628,1,0.0507,0.108,0.0,0.144,0.759,186223,41.16546658200723
Bruno X Spacc,Ördög Nórika,0.924,-5.128,0,0.243,0.182,2.01e-06,0.121,0.258,123125,70.9309146563561
"The Chainsmokers, Bebe Rexha",Call You Mine,0.591,-5.59,1,0.0289,0.225,0.0,0.414,0.501,217653,42.16301380573235
"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,0.716,-7.648,0,0.0514,0.233,0.0,0.157,0.28,165978,54.49129662846265
"David Guetta, Bebe Rexha, J Balvin",Say My Name,0.703,-5.119,0,0.123,0.137,0.0,0.192,0.79,198947,49.838548332820665
"Nathan Evans, 220 KID",Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,0.722,-3.255,0,0.0475,0.0441,0.000937,0.0673,0.439,116750,54.44502884135037
Billie Eilish,you should see me in a crown,0.697,-10.271,0,0.196,0.479,0.127,0.147,0.278,180567,35.743521467812926
Krúbi,Szív,0.662,-5.14,1,0.23,0.163,7.09e-06,0.04,0.436,530691,51.3760648886318
Lil Nas X,Old Town Road,0.908,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,113013,53.4057260163488
Linkin Park,Numb,0.488,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,187520,27.89193522275185
"ByeAlex és a Slepp, Giaj",Anya,0.785,-6.746,0,0.136,0.246,0.0,0.174,0.573,216848,37.41582046506578
"Ellie Goulding, Diplo, Swae Lee",Close To Me (with Diplo) (feat. Swae Lee),0.575,-5.029,0,0.0618,0.0954,0.0,0.394,0.493,182623,47.70046437404321
The Neighbourhood,Softcore,0.575,-5.509,0,0.03,0.0484,0.000417,0.286,0.37,206280,35.526481952010585
GAYLE,abcdefu,0.695,-5.692,1,0.0493,0.299,0.0,0.367,0.415,168602,64.31168377552868
BTS,Dynamite,0.746,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,199054,50.96642092258128
BENNETT,Vois sur ton chemin - Techno Mix,0.634,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,178156,67.35604282030421
Daimond Rocks,R.O.Z.E.S,0.858,-7.429,1,0.0472,0.00104,0.555,0.0593,0.661,297627,32.47788692782001
"Alan Walker, Ava Max","Alone, Pt. II",0.67,-4.306,0,0.0422,0.536,0.0,0.133,0.608,179053,37.49281124989882
Zaporozsec,Azon Az Éjszakán,0.57,-3.582,0,0.0572,0.194,0.0,0.131,0.426,231507,30.71571609621525
WALK THE MOON,Shut Up and Dance,0.578,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,199080,29.32766283252205
Jack Harlow,WHATS POPPIN,0.923,-6.671,0,0.245,0.017,0.0,0.272,0.826,139741,44.347877542707664
"Jax Jones, Martin Solveig, Madison Beer, Europa",All Day And Night,0.585,-4.101,0,0.0897,0.269,0.0,0.156,0.521,169303,34.83755996476992
Queen,Don't Stop Me Now - Remastered 2011,0.559,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,209413,37.91074149819738
Alesso,REMEDY,0.601,-4.612,1,0.0471,0.269,0.0,0.0883,0.485,190295,41.95151572349663
Miley Cyrus,Midnight Sky,0.705,-5.466,0,0.0346,0.00115,0.00312,0.203,0.259,223279,51.65673893596845
Doja Cat,Need to Know,0.664,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,210560,46.57552671930701
"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),0.721,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,154983,35.35291231438261
Dzsúdló,FÜGGŐ,0.633,-3.894,1,0.151,0.102,0.0,0.109,0.456,200000,54.1577250695434
Kanye West,Heartless,0.79,-5.983,0,0.136,0.0515,0.0,0.248,0.654,211000,32.03984889433994
"Regard, RAYE",Secrets,0.848,-5.386,0,0.0373,0.0412,0.000785,0.195,0.777,176767,40.31497475140736
Kolg8eight,2021,0.799,-10.01,1,0.381,0.553,7.75e-06,0.129,0.765,164476,52.51160350592116
"cassö, RAYE, D-Block Europe",Prada,0.638,-5.804,1,0.0375,0.001,1.79e-06,0.113,0.422,132359,62.81988460970052
Dean Lewis,Be Alright,0.553,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,196373,35.008625569622254
"Ed Sheeran, Camila Cabello, Cardi B",South of the Border (feat. Camila Cabello & Cardi B),0.857,-6.376,0,0.0825,0.148,0.0,0.0865,0.668,204467,45.28534938574904
"BSW, Tankcsapda",BAZ+ - Túl vagyok rajtad,0.706,-7.038,1,0.041,0.105,0.000486,0.0993,0.534,168848,60.88806596034701
The Kid LAROI,WITHOUT YOU,0.662,-7.357,1,0.0299,0.213,0.0,0.134,0.467,161385,48.77556550708306
"Queen, David Bowie",Under Pressure - Remastered 2011,0.671,-7.815,1,0.0476,0.429,0.0,0.103,0.462,248440,34.34163813388723
"Gabry Ponte, LUM!X, Prezioso",Thunder,0.67,-4.673,1,0.058,0.0342,3.21e-05,0.344,0.403,160000,37.19571280919232
"Azahriah, DESH",ceremónia,0.678,-8.855,0,0.12,0.496,0.00168,0.295,0.361,273818,81.44362716734327
Taylor Swift,Cruel Summer,0.552,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,178427,36.06728027346352
"Azahriah, DESH",lost tiki,0.711,-8.622,0,0.0459,0.715,0.15,0.254,0.656,171429,76.50556999355912
"Jonas Blue, Jack & Jack",Rise,0.687,-4.65,1,0.0333,0.327,0.0,0.203,0.655,194408,43.75404254211742
Selena Gomez,Back To You - From 13 Reasons Why – Season 2 Soundtrack,0.6,-4.866,1,0.0487,0.0933,1.87e-06,0.12,0.506,207905,34.576586635170685
Azahriah,yesterday,0.796,-7.288,0,0.26,0.244,0.0,0.108,0.731,132585,42.43816173466668
VALMAR,Playboy,0.817,-6.677,0,0.0815,0.301,0.0,0.122,0.889,159638,56.60691072353195
"Avicii, Sandro Cavazza",Without You (feat. Sandro Cavazza),0.662,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,181673,33.49362131224197
"Jonas Blue, Liam Payne, Lennon Stella",Polaroid,0.652,-4.481,0,0.0361,0.29,0.0,0.073,0.472,193377,32.68601555180629
"Sam Feldt, RANI",Post Malone (feat. RANI),0.59,-3.87,1,0.122,0.0771,0.0,0.105,0.651,174444,35.01968600474633
Manuel,Idegen,0.773,-4.579,1,0.0886,0.229,0.0,0.0874,0.659,156600,55.49986774017678
"Mark Ronson, Miley Cyrus",Nothing Breaks Like a Heart (feat. Miley Cyrus),0.601,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,217467,44.98503897826424
Elefánt,Kösz,0.745,-5.877,1,0.0333,0.122,0.00917,0.149,0.861,140260,31.258685464832865
"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),0.569,-2.777,0,0.06,0.0316,0.0,0.142,0.201,191701,59.18010667083611
"Rema, Selena Gomez",Calm Down (with Selena Gomez),0.801,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,239318,41.81624644440147
"Pop Smoke, Lil Baby, DaBaby",For The Night (feat. Lil Baby & DaBaby),0.823,-6.606,0,0.2,0.114,0.0,0.193,0.347,190476,49.362943391977225
Manuel,Popstar,0.705,-6.074,1,0.026,0.105,0.0,0.0847,0.512,218462,62.726445574301806
Jonas Brothers,Only Human,0.795,-5.883,1,0.0721,0.107,0.0,0.0645,0.873,183000,38.52282995102284
"Felix Jaehn, VIZE, Miss Li",Close Your Eyes,0.818,-3.563,0,0.2,0.0663,1.17e-05,0.133,0.52,160794,32.8020799118072
Follow The Flow,Hagyod Menni,0.706,-7.473,0,0.11,0.25,0.0,0.392,0.665,185869,30.829052435726624
"Clean Bandit, Mabel, 24kGoldn",Tick Tock (feat. 24kGoldn),0.779,-3.895,1,0.0344,0.369,7.91e-06,0.124,0.946,178374,36.45870918356239
"ByeAlex és a Slepp, LUCA",Rózsák,0.794,-11.622,1,0.167,0.335,0.0,0.344,0.521,164706,41.469950528517614
Mr.Kitty,After Dark,0.579,-10.492,1,0.0322,0.0673,0.414,0.0778,0.0392,257147,28.7607722511824
"Post Malone, Young Thug",Goodbyes (feat. Young Thug),0.58,-3.818,1,0.0745,0.447,0.0,0.111,0.175,174960,54.66678277743584
BSW,Egyedül - Megb*sztam ezt a kis gádzsit,0.646,-6.828,1,0.0997,0.0633,0.0114,0.66,0.203,207041,55.40037894191124
BSW,Gyere be velem (DUBAI GANG),0.727,-5.426,1,0.0482,0.121,1.91e-06,0.145,0.351,218462,44.06799446575846
Rosa Linn,SNAP,0.563,-8.205,1,0.0684,0.107,1.06e-05,0.446,0.518,179551,46.30143540860473
Imagine Dragons,Bad Liar,0.307,-6.993,1,0.0569,0.0732,0.0,0.368,0.0805,260773,34.20647159744726
"Juice WRLD, Marshmello",Come & Go (with Marshmello),0.625,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,205485,46.05618515852544
Ava Max,Who's Laughing Now,0.648,-5.521,1,0.0389,0.00565,3.63e-06,0.109,0.505,180348,34.54368240851272
HVME,Goosebumps,0.767,-7.429,1,0.0444,0.325,0.0,0.13,0.439,163208,42.88923316354064
"Jax Jones, Bebe Rexha",Harder (with Bebe Rexha),0.907,-3.028,0,0.0727,0.0895,0.0,0.154,0.75,159760,31.026339487944668
"Manuel, VALMAR",Hajnalokig,0.791,-3.541,1,0.0396,0.405,0.0,0.0502,0.879,154949,51.96573312961336
"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),0.65,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,191014,47.17502506389856
Manuel,Balenciaga,0.817,-7.032,0,0.28,0.0541,6.97e-06,0.126,0.585,187753,63.40458042413985
Kordhell,Murder In My Mind,0.712,-0.514,1,0.112,0.00547,7.06e-05,0.128,0.568,145000,39.72605059025321
"Camila Cabello, Young Thug",Havana (feat. Young Thug),0.765,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,217307,33.37486607573052
Gunna,fukumean,0.847,-6.747,0,0.0903,0.119,0.0,0.285,0.22,125040,53.27786436458733
"Wellhello, VALMAR",Pezsgőeső,0.665,-3.903,0,0.12,0.172,0.0,0.315,0.701,167375,43.06941046995638
"Manuel, Mxrci",Terapeuta,0.635,-6.929,0,0.0451,0.23,0.0,0.106,0.643,216258,57.36658326609802
Lil Peep,Save That Shit,0.534,-8.672,1,0.0288,0.0262,0.0,0.421,0.145,231547,24.632236613934595
Tate McRae,greedy,0.749,-3.19,0,0.0321,0.261,0.0,0.113,0.816,131872,76.4577549317112
Juice WRLD,Wishing Well,0.65,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,194621,41.01148778890384
LMEN PRALA,MENTALITAT,0.805,-6.648,0,0.0736,0.429,0.0,0.0669,0.41,152619,62.435601885636686
Follow The Flow,Tőlem ne!,0.783,-5.612,0,0.089,0.303,0.0,0.11,0.673,174424,34.96893120889497
"Calvin Harris, Rag'n'Bone Man",Giant (with Rag'n'Bone Man),0.807,-4.311,0,0.0361,0.016,0.000503,0.0811,0.606,229184,47.35897727615351
"David Guetta, Becky Hill, Ella Henderson",Crazy What Love Can Do,0.601,-3.758,0,0.0449,0.0282,0.0,0.158,0.464,169756,35.84012712692895
"KKevin, T. Danny",Kellett A Pénz,0.968,-11.262,1,0.274,0.0744,1.66e-05,0.0841,0.549,158563,40.272034650523466
